mint,label,status,liquidity_usd,volume24h,buys24h,sells24h,buy_sell_ratio,price_change_24h,fdv,age_days,dex
MtndYnCvcYrRbjZbBAyimatuy9ZbXJKFr71qXe5j1GB,1,no_pair,,,,,,,,,
7S7FiMeBt1rNENww19XvP2s6gGsczRCJsFYooWtXjHa1,1,no_pair,,,,,,,,,
3vGjQ4GeLmBmdQ84YHWzc3pL8he9ykgpXA6Hy9R8pump,1,no_pair,,,,,,,,,
3EYBRzGPtB2iWZiL7nDUhFeVAAGySzs7HyqYtv2wwhmM,1,no_pair,,,,,,,,,
8SQ8meJP3dcMqavXyKc6PbFsXY7UbcVWgk58EAyApump,1,no_pair,,,,,,,,,
AD7dg5Pewd5KrNRdiruRqwYyJRijnGf72Q4cQEzEYimA,1,no_pair,,,,,,,,,
4DgqGLcjHNeGd4S7FUjJiELbXYo1Tx68CPJYCZpS4obe,1,no_pair,,,,,,,,,
8aNJcVSpmBDbHZCdEvrPrsm3JhkgyzvNMFWqsWibFsFu,1,no_pair,,,,,,,,,
4peG5vF6VXbUt8PPA5LDbtdeRAPBGGrspDMW3ot6TdeX,1,no_pair,,,,,,,,,
ChnAKmjsaZGLqKMDr36u381gM7pvKWzBNFLseyogFqfS,1,no_pair,,,,,,,,,
9tJxSqgPycW3Lub4ESSmYgU5PXwroZasDXtHX52sYpGm,1,no_pair,,,,,,,,,
Em9zr2tgSmGgRbz3kxyQeRXjRi9oc13wMu6cKam4zWFW,1,no_pair,,,,,,,,,
CJNSnbKGWjyVyawZJiFhmdgtSSu11HAMZ7YM9x9oYbwV,1,no_pair,,,,,,,,,
6atKZkgmc4iCYfATg6Ewc7NQQCF4fwi2TGapExtHpump,1,no_pair,,,,,,,,,
CRx7gB6i83CnbcNTseZYvXgUd8QDYyFJaKG6H6pkrCfE,1,no_pair,,,,,,,,,
C3bwM3HpEPzNsY5DBfZEcXywxyko6mpRAVFNXMzB1Mou,1,no_pair,,,,,,,,,
7vgnnnNk8T1JJw1eN5XX5MK8N2DgCk3fg54oQd68pump,1,no_pair,,,,,,,,,
9ZQHvFSeitBXjBbiyCsR5fdoN29pkwPMh4MHq4avz87m,1,no_pair,,,,,,,,,
3yDuSAcFX8mVbsNcRvbApd6tSvuALTb6MZNwavUy6Q1f,1,no_pair,,,,,,,,,
st8QujHLPsX3d6HG9uQg9kJ91jFxUgruwsb1hyYXSNd,1,no_pair,,,,,,,,,
6pgQnTeveR91yAdaWoe4NqR2ofjVBQUUdNXrcaXfiqkU,1,no_pair,,,,,,,,,
H7ggjjAzRjEdwgL2cibEL2tRpKTevPtgenZKLejwifDQ,1,no_pair,,,,,,,,,
8uwcmeA46XfLUc4MJ1WFQeV81rDTHTVer1B5Rc6M4iyn,1,ok,18080.73,5.36,0,2,0.0,0.26,16466,865.31,raydium
6cCqLw9tCNEQVcpcWLfS7QopBq7vooSLwTBh4GrUiU1c,1,no_pair,,,,,,,,,
F2HpLEyZ5Gwg5kEv97WQ3Tv7D9FNpywFWGAXMBDrY3Pr,1,no_pair,,,,,,,,,
CgomPke2as4vv8p2bCbXpC1cJzB7rmKvnk1kHWFtPtQF,1,no_pair,,,,,,,,,
9eCouJKkSdqsmUgoNoNSxkgEi5meXRMwMbpw7uVbqaH5,1,no_pair,,,,,,,,,
HmjyFCA8enFGpSFCqqufCtFnsxqTJRGwfGYWFfFbmAxU,1,no_pair,,,,,,,,,
8CQ5xR7ju43vwWViKCw82z2V9CMk69t9c82swQrofeLe,1,no_pair,,,,,,,,,
BBUyuNjKsH5nnMEwohYExH7nZRsDTYRjd8KFDoHBYUfi,1,no_pair,,,,,,,,,
3XpRCHuhXgcca7ki4jzXBqPjuAXhBzWtZWvkEHa19hTh,1,no_pair,,,,,,,,,
8UQqeQFigN3C3q7VHdqpTU1jtLshKcQCMikunNGzVbhn,1,no_pair,,,,,,,,,
2qJWsCUUu8Q37PFM87MXNY3rRGoJRtZKop56FSRRthnZ,1,no_pair,,,,,,,,,
AwZ8hep1THM3FUfb4VqBc9tr6i3y77AUhmNo5L6pWSrP,1,no_pair,,,,,,,,,
DL9VkQf6SXeUFohodJMtr6X42gDiW3tfH3cEk5sXQBg2,1,no_pair,,,,,,,,,
