mint,status,mint_auth,freeze_auth,top1_pct,top10_pct,holders,lp_providers,lp_locked_pct,liquidity_usd,transfer_fee_pct,creator_rug_count,insiders,insider_pct,launchpad,rugged,score,top_risk
8sZjNXtA14MEuGU33YHnEAbi3hymEje3V98UYmh7pump,ok,0,0,94.129,98.06,1308,0,100,4314.34,0,,0,0.0,unknown,0,562,Low Liquidity
6nZMybzxq2MWX3PfQDMJgTfvxounspLhLa8RXTGipump,ok,0,0,91.755,99.98,43,0,100,0.11,0,,0,0.0,unknown,0,28000,Freeze Authority still enabled
2E6SSuVKVrQ6113KpWvzvhfY9yQ647E83V6e656fpump,ok,0,0,70.964,94.12,1705,0,100,7707.1,0,,0,0.0,unknown,0,1,
Eib2FtEAkdZwCJodJHFZYZpUTYv5PcsdeVczBCoxpump,ok,0,0,100,100,2,0,0.0,0,0,,0,0.0,unknown,0,24601,Top 10 holders high ownership
Hdw3oH63KErX3DeM6iMErVmX58RyAg2j4T51tLyYpump,ok,0,0,85.838,100.0,31,0,100,0.0,0,,0,0.0,unknown,0,22526,Top 10 holders high ownership
44uPypuyR3TSzfvXeKEcKfrBkc9oFeGeX5o92Nyapump,ok,0,0,82.092,94.32,1944,8,100,115071.06,0,,0,0.0,unknown,0,1,
FwLcKcJH1EjFZwEYbZbPDKjrNC9ECmECjoz3MLwapump,ok,0,0,90.936,96.02,1109,0,100,4427.62,0,,0,0.0,unknown,0,696,Low Liquidity
79oC7Uq6jiZdkzZWcPvS8rmVLj2DJk8XUiiTcuaRpump,ok,0,0,100,100,5,0,100,3753.84,0,,0,0.0,"{'name': 'Pump.Fun',",0,1,
Hj5SmbS4NMJZF2EseTZbMQYbi4BdEvYLfVEZcD4Hpump,ok,0,0,89.136,97.02,1516,0,100,5762.02,0,,0,0.0,unknown,0,546,Low Liquidity
He2EL8hzZKZEQPZw3TvHCRoBeuh4rQzCBxvv3uCCpump,ok,0,0,56.717,85.53,2483,1,99.93,9470.22,0,,0,0.0,unknown,0,1,
Ah7J1AqAHuE25JkUJns6bk3gTvn4TQzV5tcLnUX1pump,ok,0,0,91.228,94.7,1515,0,100,4599.22,0,,0,0.0,unknown,0,516,Low Liquidity
CV5UzxukRgAccsFNNifbGWjvNX57z6bhh6dTHkU4pump,ok,0,0,100,100,3,0,0.0,0,0,,0,0.0,unknown,0,26601,Top 10 holders high ownership
Be5PqfkmrYefd4Z6Raqf5DmihNdRdFmi7L4KdTGQpump,ok,0,0,98.078,99.89,233,0,100,6463.54,0,,0,0.0,unknown,0,935,Low Liquidity
2m34ZipdrWc7Joc4HrsqMMZs4k9n3jL8STyaMBR2pump,ok,0,0,100,100,3,0,0.0,0,0,,0,0.0,unknown,0,24601,Top 10 holders high ownership
9gm7GoFihZPQ1wzVsEGEqe81ymhkZ95hWdDNtDEopump,ok,0,0,100.0,100.0,3,0,100,946.2,0,49,0,0.0,"{'name': 'Pump.Fun',",0,117601,Creator history of rugged toke
99myne1mVnsSv2kAkzZDfNnwf5Xb4SASJnaCRXdbpump,ok,0,0,40.839,64.52,6877,1,100,17203.61,0,,1,31128884785808,unknown,0,1,
3YG6591aJ1KzyYDGXzSsYQBzByTmtkyfUHDYjUaqpump,ok,0,0,54.548,83.42,7844,0,100,15907.14,0,,0,0.0,unknown,0,2007,Single holder ownership
4ofdJMbDdvxjG2jh7qi5WfuoQDy72r62APyAWHGbpump,ok,0,0,91.284,95.96,1143,0,100,4892.24,0,,0,0.0,unknown,0,869,Low Liquidity
fEYuNefXis1LBkYTxEgCMHSupuyuDTvn5SMCxYRpump,ok,0,0,99.3,100.0,13,0,100,2075.54,0,,1,16132001379249,"{'name': 'Pump.Fun',",0,1,
BEk5erCFDjoVEZYUJV2gJAVrp6CERSEgtY7CsWFYpump,ok,0,0,91.312,95.74,2321,0,100,5668.79,0,,0,0.0,unknown,0,205,Low Liquidity
AiQcnL5gPjEXVH1E1FGUdN1WhPz4qXAZfQJxpGrJpump,ok,0,0,47.761,66.37,23110,1,100,19724.81,0,,1,65440102039345,unknown,0,1,
cdrnipiPz7LLJ4AuRFPH984oyjQ4TqsFhNUd1mupump,ok,0,0,99.455,99.9,348,0,100,3899.04,0,,0,0.0,unknown,0,837,Low Liquidity
F66AYg3HH5vLtLJDDJ2Zn7AssiErgAaob3KfFsxopump,ok,0,0,99.996,100.0,4,0,0.0,0,0,,0,0.0,unknown,0,24600,Top 10 holders high ownership
BEaiwYA87vCHicdeAm9JY6uKNb8yFq9mRdyhsFHypump,ok,0,0,93.942,98.49,697,0,100,5475.69,0,,0,0.0,unknown,0,1121,Low Liquidity
7w5897D6jjE4Hjsz6ZNYsPzWewHYJHBvi8HvSNQEpump,ok,0,0,99.897,100.0,6,0,100,0.0,0,,0,0.0,"{'name': 'Pump.Fun',",0,1,
BiuXru2Nvkd2KrMhPw1DmGVrp1ZWDyHeBe5q45chpump,ok,0,0,94.863,97.57,4081,0,100,9416.08,0,,0,0.0,unknown,0,1,
HcboEt3WL3ZRjXgLZhZ4zVSxUvKjvY8tFh5LUS2hpump,ok,0,0,100,100,2,0,0.0,0,0,,0,0.0,unknown,0,24601,Top 10 holders high ownership
DbHzijtbYcbTRTdLJRCngxzYQMFr6PdP4rkmwgAhpump,ok,0,0,100,100,1,0,0.0,0,0,,0,0.0,unknown,0,24601,Top 10 holders high ownership
695Q2Phfwe5mX7iHUbncLN5on2RBDhpSZZJPzo3xpump,ok,0,0,92.619,98.4,1156,0,100,5678.45,0,,0,0.0,unknown,0,650,Low Liquidity
2PEDDm6kL8n75YfzrJhYiqV6HthqdZWcdtPWwoUUpump,ok,0,0,100,100,1,0,0.0,0,0,,0,0.0,unknown,0,25101,Top 10 holders high ownership
2X1p9UYLx3ep3d2Ek8VAGP2SFifUEewJoDgniNubpump,ok,0,0,79.902,100.0,30,0,100,0.97,0,,0,0.0,unknown,0,78100,Mint Authority still enabled
67HckfhhE6cZf9iPgpxF1n1XfxCaxq8PTvf4t9dKpump,ok,0,0,91.041,95.93,2304,0,100,5115.15,0,,0,0.0,unknown,0,281,Low Liquidity
2YVHcu7yPtzTF5QJd4czH66KeLk68jUvPf8AabPSpump,ok,0,0,100.0,100.0,2,0,0.0,0,0,,0,0.0,unknown,0,24600,Top 10 holders high ownership
C9nkAep4fyz11yPCGCwfmSY5JYErBivB7qfjD8eppump,ok,0,0,99.289,100.0,5,0,0.0,0,0,,0,0.0,unknown,0,24529,Top 10 holders high ownership
8KgcGePh4yb6jrafy6FRzYBbuCRche8nQxeBdPXdpump,ok,0,0,96.02,98.88,566,0,100,4467.76,0,,0,0.0,unknown,0,1139,Low Liquidity
sG6rR3N36HBB5xq1jazC4zLYGc4o5DsZPeX48fTpump,ok,0,0,96.716,99.27,1160,0,100,3572.69,0,,0,0.0,unknown,0,987,Low Liquidity
DMBvAFwVc2UNp7QKyojUjHKZiLcxpNud83JB8ZE8pump,ok,0,0,100.0,100.0,2,0,100,1691.83,0,,0,0.0,"{'name': 'Pump.Fun',",0,1,
GwfU66GfZzZkbQrfUVeZi3WJM6aWMWzoG3zQARJ4pump,ok,0,0,88.579,97.24,1966,0,100,4690.34,0,,0,0.0,unknown,0,444,Low Liquidity
76SeAWPMr33x58ybFiHfh9EhhiYHMtuZzcRxbHczpump,ok,0,0,100.0,100.0,2,0,0.0,0,0,,0,0.0,unknown,0,24600,Top 10 holders high ownership
4vrdHaWCJNUtHFSdj88VV8aZbALwye9tcqf2bSU6pump,ok,0,0,51.256,100.0,27,0,100,164.01,0,,0,0.0,unknown,0,15356,Top 10 holders high ownership
DwS2xMvTCwbZHk1W257eh1LVV7o96vhJUspzoTCapump,ok,0,0,97.213,99.34,653,0,100,3642.34,0,,0,0.0,unknown,0,1014,Low Liquidity
3b1n4XdhtnnNRTyp3UhHNTcb6QaUtLUUrydKnjHNpump,ok,0,0,81.735,91.83,3397,0,100,5643.01,0,,0,0.0,unknown,0,1,
4JjyRH3DFvtwAQP7GAeysAWxJHUNwkwb9korKJbzpump,ok,0,0,100.0,100.0,2,0,0.0,0,0,,0,0.0,unknown,0,24600,Top 10 holders high ownership
7La3E4GirXEvhg89PEcnRrQVx2g9Rx9bdkb12Vm6pump,ok,0,0,99.974,100.0,3,0,0.0,0,0,,0,0.0,unknown,0,24598,Top 10 holders high ownership
AxUx31tmanQ2r8xG3nBvW1L9miHHZNqMfALzc1ygpump,ok,0,0,71.478,89.7,4203,0,100,9818.95,0,,0,0.0,unknown,0,1,
HeWdnJqjmmFbs6ACUHuPTR8diasBjNRiyKumFvyypump,ok,0,0,87.839,96.23,3982,0,100,8445.56,0,,0,0.0,unknown,0,1,
5sb2VHyP9bawbg4xp9stVGxr2MyP5jhKamTQgzwHpump,ok,0,0,95.228,98.17,1082,0,100,3805.73,0,,0,0.0,unknown,0,725,Low Liquidity
81X9vLkoWRpKqdTpG8zGim7V3nP6x5dKovH2njWmpump,ok,0,0,83.714,95.49,1608,0,100,4684.28,0,,0,0.0,unknown,0,342,Low Liquidity
RzELnKoeNvZjSPF5rbDRz7ay3TehqepNjRBRrpspump,ok,0,0,91.57,97.0,4589,0,100,7246.4,0,,0,0.0,unknown,0,1,
B5jwKLqAX9x8Y7AZKyEJs9zmSyBM2DotMyRYJxpupump,ok,0,0,92.677,97.4,1160,0,100,4394.76,0,,0,0.0,unknown,0,697,Low Liquidity
9N7McNXf2UdARJc1b7shAB5pRpew3SuQBCcLD7H1pump,ok,0,0,86.496,98.15,1027,0,100,4476.69,0,,0,0.0,unknown,0,796,Low Liquidity
C72eaok99QE47Nr2EgmMnGxq8L3ivMtMAfhjLeqTpump,ok,0,0,91.373,98.73,1040,0,100,5303.79,0,,0,0.0,unknown,0,644,Low Liquidity
GpmmQBjXxoppbELykD2PGQ4wwVR74o5sSZXVW6hVpump,ok,0,0,11.521,37.75,3093,0,100,38545.45,0,,0,0.0,"{'name': 'Pump.Fun',",0,1,
8duYAQUNL95DDMKLYAXPwdGFRwre4xVsXL8gcn4Npump,ok,0,0,99.894,100.0,4,0,100,3310.01,0,,0,0.0,"{'name': 'Pump.Fun',",0,1,
CXfzQ1nbs8uTowtd2ni34xBbJz9ewGY7XCQ7agXHpump,ok,0,0,100,100,1,0,0.0,0,0,,0,0.0,unknown,0,24601,Top 10 holders high ownership
ABHQGzXNoRbJ1sjUsCJ2TmTAo1uMx4EUpV1qYiSVpump,ok,0,0,72.53,83.41,2811,0,100,8884.68,0,,0,0.0,unknown,0,1,
DQPq9oRZm5tRRQKU7nGNd5kngDgr1RdaWVeFjafypump,ok,0,0,95.733,99.42,384,0,100,6096.69,0,,0,0.0,unknown,0,1205,Low Liquidity
32i3VKoMrkY1sszZSsYF3o6zejiiTs1xh5jgqMHDpump,ok,0,0,73.214,86.15,4821,0,100,7729.64,0,,0,0.0,unknown,0,1,
4xfw9KK6d4SXVw1fyYdGQKKandQRnrpAFgvMpVvvpump,ok,0,0,92.464,95.02,1604,0,100,5059.39,0,,0,0.0,unknown,0,524,Low Liquidity
FWW6K2GLEqfWDPHLoi3zJDGE2zfi9K8BFwyzmG9Qpump,ok,0,0,91.923,95.34,3255,0,100,5605.76,0,,0,0.0,unknown,0,1,
7qntnnfgNmVGsT3Zoq9a7HvLZogYtVYN6YTDzvWmpump,ok,0,0,100,100,11,0,0.0,0,0,,0,0.0,unknown,0,24601,Top 10 holders high ownership
KE6P33RZj3BCYvWxzSefPz7xcP76tpcCtZz14e2pump,ok,0,0,98.019,99.63,415,0,100,3479.11,0,,0,0.0,unknown,0,1111,Low Liquidity
G6tjARH6sFHfFrYgpkd7U7ktc14vJrPfXMEHhZJHpump,ok,0,0,96.168,99.46,515,0,100,3004.6,0,,0,0.0,unknown,0,1207,Low Liquidity
HgWNi6z2pTiqzyVWsPe6d5VfHv4ky2a2RbJHw1Lupump,ok,0,0,100,100,1,0,0.0,0,0,,0,0.0,unknown,0,24601,Top 10 holders high ownership
E9cw2Xx3j23JnnmBZNFinTkmnFC7ch1xB4zJ8QPapump,ok,0,0,95.073,98.55,422,0,100,3559.59,0,,0,0.0,unknown,0,1097,Low Liquidity
3BbXLmyMgw5heMMxW8ffeZNTp2D7NHArw5ic4Qwrpump,ok,0,0,98.061,98.92,1332,0,100,3816.24,0,,0,0.0,unknown,0,884,Low Liquidity
8Tv8fcA8bDjCvUPMpcCgXHuwjBgLahieKTmeWBWSpump,ok,0,0,88.68,97.67,591,0,100,3840.31,0,,0,0.0,unknown,0,923,Low Liquidity
FRC8m6F8bVBLLbs2kqZeYRT2DZNNV6ULs8E4uvL4pump,ok,0,0,100,100,1,0,100,1631.93,0,,0,0.0,"{'name': 'Pump.Fun',",0,1,
45p464XsobFHW4jjaLK93SoSoHod8yDwHzZGmn4Epump,ok,0,0,100.0,100.0,3,0,0.0,0,0,,0,0.0,unknown,0,24599,Top 10 holders high ownership
G5S4yf9TQYrBhm8DkA18Fc1kMn5fDezFUZxD5Qshpump,ok,0,0,91.305,96.27,3717,0,100,6755.39,0,,0,0.0,unknown,0,1,
DMMskmDUZ7FoDCrCJjbEN3KtQhdDs9zrTgXc15XKpump,ok,0,0,98.192,99.39,580,0,100,4312.18,0,,0,0.0,unknown,0,1171,Low Liquidity
EKjYU9SbkK1GAbx1Rhi2htLGtK7RFBtDrPoqaoivpump,ok,0,0,89.432,98.1,1483,0,100,6471.18,0,,0,0.0,unknown,0,386,Low Liquidity
6NQQBqwRop9RNzmHPj6CE2EKHErkBjWbqS6LpX8Ppump,ok,0,0,100,100,2,0,0.0,0,0,,0,0.0,unknown,0,24601,Top 10 holders high ownership
Ee76aAmxgxpfi7TypYWyXBr1eehrRjudDbkqFgC9pump,ok,0,0,92.815,96.2,2416,0,100,4934.17,0,,0,0.0,unknown,0,255,Low Liquidity
HksXbqouGNP6RijZv8siixkwpkGZzJoViN5zpSLZpump,ok,0,0,98.078,99.65,265,0,100,3025.61,0,,0,0.0,unknown,0,1292,Low Liquidity
DWhh2foMboEHEdodzWN9NZFdf3CbKRE82BxF8NBpump,ok,0,0,98.636,99.79,343,0,100,6611.95,0,,0,0.0,unknown,0,205,Low Liquidity
AZu9VUzYvTxnt7sz5s65MPeyJonTWtQoAtqsKxX6pump,ok,0,0,92.572,98.77,919,0,100,6321.86,0,,0,0.0,unknown,0,961,Low Liquidity
HiHULk2EEF6kGfMar19QywmaTJLUr3LA1em8DyW1pump,ok,0,0,65.802,77.04,2250,0,100,12480.05,0,,0,0.0,unknown,0,1,
43BFhQSbvXUFSDwBiNbTKSVgwkT7JGmbwGsgJszqpump,ok,0,0,97.019,98.8,1215,0,100,3739.4,0,,0,0.0,unknown,0,961,Low Liquidity
712Q48RX8g9hXK8DnLbvNjUpXsfhhvTakyneRoh5pump,ok,0,0,100,100,1,0,100,0.0,0,,0,0.0,"{'name': 'Pump.Fun',",0,1,
24nb3XQwvE3BBRZ7QwB6F6tyAtEJXvarLq4Rj3XCpump,ok,0,0,94.725,97.97,2907,0,100,6739.18,0,,0,0.0,unknown,0,1,
BKgYrhM8r8k1pZfsAEUp56jCYkDDWHznjmL5QwnEpump,ok,0,0,96.14,98.66,429,0,100,4325.72,0,,0,0.0,unknown,0,1101,Low Liquidity
AH7nv8UwWjo6Q6SB3rKt8Xx8zBbwar7jSaMAYFiUpump,ok,0,0,98.519,99.88,119,0,100,3439.68,0,,0,0.0,unknown,0,1334,Low Liquidity
DyarzvpJ4zMqAiKEr5YbPLMg4D4XMgBwgcTFGDMnpump,ok,0,0,99.251,99.96,28,0,100,1888.15,0,,0,0.0,"{'name': 'Pump.Fun',",0,2979,Low Liquidity
EBM9YALZBeD9Ds56zNZngZuvjhvkc6ihJpYwVjxNpump,ok,0,0,100,100,1,0,0.0,0,0,,0,0.0,unknown,0,24601,Top 10 holders high ownership
5VZfp9xnGc4Z4tysMkStBKpPQFCVTvFCdGAf4NA4pump,ok,0,0,93.572,96.91,1348,0,100,4317.98,0,,0,0.0,unknown,0,687,Low Liquidity
HFjZXFVGW1uiao3LkUtMepcthUjRPfrcPwvvFKc3pump,ok,0,0,100,100,1,0,0.0,0,0,,0,0.0,unknown,0,24601,Top 10 holders high ownership
33ut9nJafj5RS4JPd3UJ4oiYYRfkqrWkxgSeforHpump,ok,0,0,84.899,97.66,1107,0,100,7507.65,0,,0,0.0,unknown,0,432,Low Liquidity
8R3D8EMUEA4J9MAa19D1h9Z1RPViacjrucb2S1FDpump,ok,0,0,100,100,1,0,0.0,0,0,,0,0.0,unknown,0,24601,Top 10 holders high ownership
13DB6vz6AVBnPkQdA4GbRTTGtpiZutbM47N1arKhpump,ok,0,0,58.784,71.87,4929,0,100,10539.85,0,,0,0.0,unknown,0,1,
Bsn6QCiXicw2Lyyx5KtQCeyVp1PZDhauHkYMpdQRpump,ok,0,0,97.349,99.43,848,0,100,4773.55,0,,0,0.0,unknown,0,966,Low Liquidity
