mint,status,mint_auth_live,freeze_auth_live,top1_pct,top10_pct,total_holders,lp_providers,liquidity_usd,creator_tokens,insiders_detected,launchpad,rugged,score,risks
4jE4VuqFWZfmSXjTDD5KUoN2qkVu96nPTPj4mhs5PA1W,ok,0,0,39.3485,83.4669,1327,4,1462.35,,0,unknown,0,7326,Single holder ownership|Low Liquidity|High holder concentration
62mALBEzUQWS3r8EzjnX1C2ricdTy9hkv8gs7mLtpump,ok,0,0,86.2043,94.9303,8088,0,15733.79,,0,unknown,0,1,
6U48jtR53ZK3E1MozLrpwJDTrtj74uuFhMGNzGY18YPu,ok,0,0,44.5241,61.6987,7422,5,12637.39,,1,unknown,0,1,
Fi5GayacZzUrfaCRCJtBz2vSYkGF56xjgCceZx5SbXwq,ok,0,0,19.3786,61.5377,1763,0,35.18,,0,unknown,0,65213,Mint Authority still enabled|Large Amount of LP Unlocked|Low Liquidity|High holder concentration|Mutable metadata
Cx9oLynYgC3RrgXzin7U417hNY9D6YB1eMGw4ZMbWJgw,ok,0,0,33.28,53.9022,211022,15,9467.22,,0,unknown,0,501,Missing file metadata
53ctv3wwFXQbXruKWsbQcCe7sefowyu96pXK6FRLTjfv,ok,0,0,54.9945,75.0324,8845,1,11530.08,,1,unknown,0,331,Low Liquidity|Mutable metadata
4VC7UYqBo9Siw8ZnkPXfw9D3dzYCiVrPDzs9XRtyRJMH,ok,0,0,75.0863,88.3998,18507,4,34122.98,,0,unknown,0,1,
EjmDTt8G3T725eFSV7oWmGD8J848guo3LZ1EB3RfwGSw,ok,0,0,24.8154,40.6022,19514,1,29604.74,,0,unknown,0,1,
7ay4X2zcHQRSSZd8NtzNwxqzLtwxoCCRnH2daWn3pump,ok,0,0,71.6451,89.4168,2366,0,7741.76,,0,unknown,0,1,
FeKmTunVrXDKEoDJbuTwZi8vfFFw3MHzpPB79JD8ARYU,ok,0,0,27.3558,49.2215,11884,1,32539.59,,1,unknown,0,1,
8x9c5qa4nvakKo5wHPbPa5xvTVMKmS26w4DRpCQLCLk3,ok,0,0,38.0428,74.2865,6201,9,10906.04,,0,unknown,0,101,Mutable metadata
4riQPy1yXQ2d1FfzgLy9eJy6yoUdZuQkMj7JsVKr4bGu,ok,0,0,78.7017,86.2028,2586,0,4334.1,,0,unknown,0,1293,Low Liquidity|Mutable metadata
xN9Qd63mUYg7npanmdksmcqp3NQjTcGFQPTyq2F1TQC,ok,0,0,68.279,77.2806,3220,0,22436.07,,1,unknown,0,1,
8shTEDxbwvM2C9ELXNHsh8pmkoWovzJ3xgazQFWFapMx,ok,0,0,78.6008,86.1316,3460,0,6584.48,,1,unknown,0,1,
BANXbTpN8U2cU41FjPxe2Ti37PiT5cCxLUKDQZuJeMMR,ok,0,0,22.2979,56.3004,15859,0,1039.88,,1,unknown,0,6096,Low Liquidity|Single holder ownership|High holder concentration|Mutable metadata
Uiupt55owCqBJdunYQxyYf48KRMU4F53xQAyf31dpzx,ok,0,0,47.937,64.2656,9685,0,37096.17,,0,unknown,0,1,
FabjHjc1druUQoHVtudpNiCpnf73rtLzMkRM1b5NSbb6,ok,0,0,61.9099,75.9552,5470,1,11904.73,,0,unknown,0,1,
5BKTP1cWao5dhr8tkKcfPW9mWkKtuheMEAU6nih2jSX,ok,0,0,48.1639,69.9666,28900,0,63504.07,,1,unknown,0,1,
Cd35Zsee8atgY14q47mgN4N7xa2VpJG57ygtAXL7pump,ok,0,0,91.4138,95.2946,2064,0,6090.54,,0,unknown,0,266,Low Liquidity
6bPFbxgpsFZg6WDruj7vrodq4GY7K7TmqUnAm1byu3PW,ok,0,0,73.4419,88.7275,3658,0,2885.39,,0,unknown,0,1450,Low Liquidity|Mutable metadata
7x4FgiFfeqzs1tiUNvJzpt47GtLXAJ8Jfn8G1Hyyu6JH,ok,0,0,69.7059,82.1641,10913,1,23710.22,,0,unknown,0,1,
6NbnHQKD2dh4jswTLmMCP7LnSh4Nh6y2cNgdQg2ny9zW,ok,1,0,15.8246,56.1275,2469,0,4.09,,0,unknown,0,54660,Mint Authority still enabled|Low Liquidity|High holder concentration|Missing file metadata|Mutable metadata
FkCaFsprX7gySagFoQPHNbe9MRkjrvh21cokJo6C1e2T,ok,0,0,93.5983,97.6307,1027,1,31991.71,,0,unknown,0,1,
E4Q5pLaEiejwEQHcM9GeYSQfMyGy8DJ4bPWgeYthn24v,ok,0,0,35.9385,50.6761,28997,3,72447.63,,0,unknown,0,101,Mutable metadata
6dKCoWjpj5MFU5gWDEFdpUUeBasBLK3wLEwhUzQPAa1e,ok,1,0,3.7188,21.4075,27479,0,32324.4,,0,unknown,0,50201,Mint Authority still enabled|Mutable metadata|Name Mismatch
H7bTHGb5Cvo5fGe5jBDNDPUv8KykQnzyZA3qZ8sH7yxw,ok,0,0,35.2808,58.3975,151409,12,145330.99,,0,unknown,0,101,Mutable metadata
drakduQWnTS89CdTUdgHmZzEkN6reBLYqrk8rzVhU53,ok,0,0,15.4603,46.5817,58352,0,928.08,,0,unknown,0,3008,Low Liquidity|Mutable metadata
jupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v,ok,1,0,50.5552,70.081,142363,54,8872321.32,,0,unknown,0,50101,Mint Authority still enabled|Mutable metadata
8odnqwCqNVQ4UrYmYgkWPuedBr3yEMWY2ZBhtNW7jrCu,ok,0,0,78.0507,88.8998,3475,2,8521.45,,0,unknown,0,101,Mutable metadata
8wXtPeU6557ETkp9WHFY1n1EcU6NxDvbAggHGsMYiHsB,ok,0,0,18.0441,33.7323,197285,33,1180066.95,,1,unknown,0,1,
GtMtXoJiqSf8Gfp83cuunnDTiJTeTmv7cniVtJ6UAMWH,ok,1,0,19.3469,59.9007,4907,1,1648.74,,0,unknown,0,63241,Mint Authority still enabled|Large Amount of LP Unlocked|Low Liquidity|Mutable metadata
6ogzHhzdrQr9Pgv6hZ2MNze7UrzBMAFyBBWUYp1Fhitx,ok,0,0,10.2108,22.9855,129293,32,450002.33,,0,unknown,0,1,
DxtssVdyYe4wWE5f5zEgx2NqtDFbVL3ABGY62WCycHWg,ok,0,0,24.2191,40.2661,59056,9,70863.62,,1,unknown,0,101,Mutable metadata
D5oCx51J1hgwGAaaWgn4aKqU8TvbaTDx3NtNUdkKrGgq,ok,0,0,89.2301,94.2383,2094,0,3294.85,,0,unknown,0,1177,Low Liquidity
BpFmEt9efz3ekb7g35DuWiywX3o9nfsRANX76D1g6fNk,ok,0,0,52.7812,91.4947,1764,1,20981.42,,0,unknown,0,10352,Large Amount of LP Unlocked|Low amount of LP Providers
UPTx1d24aBWuRgwxVnFmX4gNraj3QGFzL3QqBgxtWQG,ok,0,0,42.8323,91.3613,195774,61,192669.8,,0,unknown,0,22561,Top 10 holders high ownership|Single holder ownership|Single holder ownership|High ownership|Mutable metadata
6h4ZKWqb9dDW8jaB4d76LNfP8PoRgiSvQLBHnkuih1Ty,ok,0,0,67.4397,83.3055,5697,0,9762.34,,0,unknown,0,1,
Ho2FQgg65oM1zpYuEnC8fULpBnWtqRCTrXRP56AeyCci,ok,0,0,38.9673,55.7589,7989,4,15234.74,,1,unknown,0,101,Mutable metadata
7zBbQAPGgoKvqcK74Yua8qGwEkEjAZxUPb5m3kKvvHyF,ok,0,0,35.3929,71.2399,7035,2,9186.21,,0,unknown,0,101,Mutable metadata
APkM2bqzpwQaiv5BY2eA7vR7DEB1EX5MMf6JNcBCHYrC,ok,0,0,79.1317,91.3461,4282,0,5602.63,,0,unknown,0,1,
FPymkKgpg1sLFbVao4JMk4ip8xb8C8uKqfMdARMobHaw,ok,0,0,86.2794,93.983,1373,1,5918.54,,0,unknown,0,350,Fee config enabled|Mutable metadata|Low Liquidity
HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3,ok,0,0,12.7219,46.763,962733,58,189235.95,,1,unknown,0,101,Mutable metadata
3KroURETdWLyFReapbdh6nTWQgS7Y6rorLY8jb1pJXoM,ok,0,0,30.081,60.099,12644,2,25812.33,,0,unknown,0,1,
WHYoaBumcmxCqw38y2mjs4cVkCBgwiDizbMVvcejmGT,ok,0,0,62.7603,79.5106,3112,0,1190.48,,0,unknown,0,2411,Low Liquidity
9xYeZDHEwyuqJmqrTourbFRaxN2qhkYesnz3iQ3FPz4r,ok,0,0,76.5637,93.0225,3088,0,723.72,,0,unknown,0,2580,Low Liquidity
6XfB1VVAxjtfKnF1kotGxLUq4p87xTDp3cCyC6Q2VHNG,ok,0,0,51.1323,68.5986,8575,1,2377.97,,1,unknown,0,1911,Low Liquidity|Mutable metadata
6KnsFQzCrY1VdD9Qub1ZhRcFSnzQRqhMpT2Xn4X5P2cj,ok,0,0,57.5233,77.0661,767,0,0.0,,0,unknown,0,78158,Mint Authority still enabled|Large Amount of LP Unlocked|Top 10 holders high ownership|Single holder ownership|Low Liquidity|Low amount of LP Providers|Mutable metadata
CYobWQ73DYiyERWcvgLkYMSzkXn5Vy18JKxidjeqM6oy,ok,0,0,87.6032,92.877,6119,0,8173.82,,0,unknown,0,244,Low Liquidity
