address,exists,owner_prog,acct_type,mint_auth,freeze_auth,supply,decimals,token2022_ext
FTTrdeXMJtFhqa23h1oC37m9ZrsXgqcmvY8HMGiyohFs,1,SPL_TOKEN,mint,0,0,13243253087694355969,9,
Fq7jPefUJ4Z4exE7QsBzrWK7cfqxKW8XazNwQ5akGwBz,1,ORCA_WHIRLPOOL,,0,0,,,
FuLH3f9TPxiLNojPBZxfaT5Rb5VFfia8hMzLo9e9c6CG,1,SPL_TOKEN,mint,0,0,898389128593590149,9,
GaE1XtFQuW3DfNJrsAs5gATT1XeP2K5zipkmUTBqaDfr,1,BPFLoaderUpg,program,0,0,,,
Gnkrukuv9HhDCpTMuUuYnSmjXeTTxezbs3DPjSCyygao,1,SPL_TOKEN,mint,0,0,9996789566138621,6,
GzHyjtEn2iZ8aQdRUGS54U3TXAQNP2egcKrAxwEcVhPT,1,SPL_TOKEN,mint,1,0,20999993233325207,9,
H24RXEMJ6TK61NrbMZoNxMj2u3yaxJcVMSM65AqfUj9o,1,SPL_TOKEN,mint,0,1,99999999999998650,9,
HbXTcNq8ExstVzfPVoXi45arRS6L6YXCsu5Wtv59AkqF,1,SPL_TOKEN,mint,1,0,295584,2,
PhiLR4JDZB9z92rYT5xBXKCxmq4pGB1LYjtybii7aiS,1,SPL_TOKEN,mint,1,0,136380206755435,5,
SRMuApVNdxXokk5GT7XD5cUUgXMBCoAz2LHeuAoKWRt,1,SPL_TOKEN,mint,0,0,9992470422427906,6,
Sig9GJN6wztuKj6BiaWjCRYAavAJULSwBs12ad5rpqn,1,BPFLoaderUpg,program,0,0,,,
TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,1,BPFLoaderUpg,program,0,0,,,
VVWAy5U2KFd1p8AdchjUxqaJbZPBeP5vUQRZtAy8hyc,1,SPL_TOKEN,mint,1,0,17485885948634609798,9,
XzR7CUMqhDBzbAm4aUNvwhVCxjWGn1KEvqTp3Y8fFCD,1,SPL_TOKEN,mint,1,0,888534923735947,9,
ZEjeiv2LyvBwYg5cYLkNKDndp2Wf19NrAWHzP2SbaBt,1,src5qyZHqTqe,,0,0,,,
goadkd3P4SP1w8ZNW5GsGum3vdGw4Q4wRdLWhMPjyua,1,SPL_TOKEN,mint,0,1,130892153070498,6,
mRf8L1195qxZskZi8EP5NATdsVa3ZXe3YrjoYFU1Nnk,1,BPFLoaderUpg,program,0,0,,,
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,1,SPL_TOKEN,mint,1,0,1653825559652680,9,
zjY9XwsD4sHWqGkHbtrGm5MTHP23frUdrXfxJEusSEe,1,SPL_TOKEN,mint,1,0,954952167811,6,
11111111111111111111111111111111,1,NativeLoader,,0,0,,,
11E6hZ1vgHVNsB6xyZKnSMSKpnfgN2qBbhdFVbGZhuy,1,SYSTEM,,0,0,,,
11GRaYGfuX2QzJZnCKquetBbdri7ioNNPRmt6WTZsnR,1,RAYDIUM_AMM,,0,0,,,
11KCkk5jTTm9GKoAKbQEKqBSBUmdKHEULDY24jK1Gmh,1,SYSTEM,,0,0,,,
11Njyg2K5CrqSUeUmpEfMbakmPYCUe41LWkWgeEdsQP,0,,CLOSED,,,,,
11UWkTuhDK4wkzJzpYu7WnztNcwocNVZFPxVyhEpump,1,SPL_TOKEN,mint,0,0,996217264189911,6,
11W8vakvavnP9aryEK8jmDDsdeWE6S6SGu8Fjkipump,1,SPL_TOKEN,mint,0,0,997086429661925,6,
11dvr67Y7zN1KFepoXRmniGnqRwbqmZtYKGnDJmdbr1,0,,CLOSED,,,,,
11jDxVr2gxnkNsKDaeP1Sb4JyZpAAyRRUroVmWMiYhz,0,,CLOSED,,,,,
11kXhjmhbpgVPJK27ZA4jTZ3ktnRm54Do6f94zS5N46,1,RAYDIUM_AMM,,0,0,,,
11kZaW8YQC2xT6aTnDe9jGtSkcGgfhyQxWHpwZ4C5DD,0,,CLOSED,,,,,
11ryQxpVBb2ULB6aTyZj4zJKzNzqJN9PzB97qzvrq3F,1,SYSTEM,,0,0,,,
122g7MCtHduv168QACG3DvSVskAFrDUMYkJdkSoSr4oj,1,METEORA_DLMM,,0,0,,,
122wYWhwMnB1eu2xxX8g4EZnXQpxQriijnxGEB65ohiX,1,RAYDIUM_AMM,,0,0,,,
123evkMohRQw9X95RpyfM32m8MG6VCB72BhHBhmGpump,1,SPL_TOKEN,mint,0,0,965559762536811,6,
123fJ8eJ3KeMaAsSXAaCE1B17xjAYHuGa3Wt7cwkpump,1,SPL_TOKEN,mint,0,0,997075238328838,6,
123yP1S39uv8EdfA3oJMRw4X7QNhPbsfPQC2DwJxLqbi,1,SPL_TOKEN,mint,0,1,9445658370000000,7,
124TgDq59sdBHBYS7YGp3T5Do88MNHE7ws6X7h6Q6SkA,1,RAYDIUM_AMM,,0,0,,,
124WnZDfSq8KCPhFuEv6gygAaQsKopcjUAjow54JzTYW,1,RAYDIUM_AMM,,0,0,,,
124gpW1VL9PfAFzdGDqtbLspBKXDp2G5MaXNdJMwpump,1,SPL_TOKEN,mint,0,0,966684927224221,6,
124wiR1Ksev9B8pNU8mFq97CqEDaz6RPogi7wFLWrYVC,1,METEORA_DLMM,,0,0,,,
1254YT9pX4kaczmZi22TF83aAPQ24vyDdoybqPU4pump,1,SPL_TOKEN,mint,0,0,987143573982382,6,
125pDBBexxXzV2jqNwY29iru3kYX73ALTmPk3Kj3mXJe,1,RAYDIUM_AMM,,0,0,,,
126AB1un49xM3sTfgskpQtvvKeEJ4PNQGd1S6aEcpump,1,SPL_TOKEN,mint,0,0,999999999326111,6,
126UrHYrvCwvgtyNTpLHWAtunfig5HfY3168AW9Mpump,1,SPL_TOKEN,mint,0,0,995696992180221,6,
1282VYUbTVgJ8vB5PfToYF21VPFZtWs1BKugSTC2BNpv,1,SPL_TOKEN,mint,0,0,993897201607887,9,
12AdNNrn3aHtqukgDo1r3Yq3ifCA4Pis3PEfukbdR1P7,1,SPL_TOKEN,mint,0,0,795379170406662,6,
12AhaWh6JxD7HAEZvtGvYi8SE4NGqYgFAJAwcxUEpump,1,SPL_TOKEN,mint,0,0,991086969330554,6,
12AjTG16m3oWzjVy2kP2C1bUEzZv8PayQDM9csRR1obM,1,SPL_TOKEN,mint,0,0,9953524683705242293,5,
12AoAHhb4h2AHKJAn8NiDRiReMMB1sRVanHFnkjGa2Fi,1,Eo7WjKq67rjJ,,0,0,,,
12AsHiGefNW7TGryNiCsVsj1jwsm8zzachBpRg7Gyny3,1,SPL_TOKEN,mint,1,0,994729306116077,9,
12B6Bur3anxEEXznkrnuPG2ZVkafW2PyMikXd7vvpKm1,1,SPL_TOKEN,mint,0,0,8983925221521929274,9,
12CbS2rA2dS3uq7sCwhVZagKFxZWtCj6vvChwMT7by96,0,,CLOSED,,,,,
12CoL5jiPci4qDBwZ8DcqkTNAQfjuD7sTyRf11n6Uaun,1,SPL_TOKEN,mint,0,0,1000000000000000,6,
12DJuAZgj81NwYojSxvdNDzApkXtn34ytU9jZ1eubsjx,1,METEORA_DLMM,,0,0,,,
12DZ4KVBPHxLKWDWnSN5fo1h3PqayGG4CvyxqFw1c6pQ,1,SPL_TOKEN,mint,0,0,26123590216,6,
12FvihLoAzTtaA98YVuErGftCXtoc83t3YFk4WdKK79T,1,SPL_TOKEN,mint,0,0,995993879401089532,9,
12GAmVCDturUzyBrkBosmepv1HhfNTXrVeLEu8G5RZSS,1,METEORA_DLMM,,0,0,,,
12GELjcL6Jg9VkTsPcpVcadTCFRaKTTLXXHGThMCqKFq,1,METEORA_DLMM,,0,0,,,
12JYjFoknqihb6SSkuPcjVSGFCnivbtCtombsf8Z4fju,1,METEORA_DLMM,,0,0,,,
12KKYSHnE8VD1uxNtZ8fs2dVnQPN4RyMBRoCpG15gVRL,1,Eo7WjKq67rjJ,,0,0,,,
12KLamRC792UeJCWVTTAwYML4GwXXR9FBgt6Us1oHBW2,1,SPL_TOKEN,mint,1,1,999637607408550450,9,
