address,reputation,labels,nametag
0x62ee4a3c690c9660762c52bf1a232365c86c879b,2,Phish / Hack,Fake_Phishing124
0x636e5292882e2342aaf82d651322aea09a3e5392,2,Phish / Hack,Fake_Phishing455
0x64f3502c4b6b7e7f106e7ab1f175a4e2c2fde45f,2,Phish / Hack,Fake_Phishing325
0x6642cec9d02e4e669103a3ed4f3505f437b8fe73,2,Phish / Hack,Fake_Phishing672
0x685445fe51b31790538890a6468851afbf7a0519,2,Phish / Hack,Fake_Phishing43
0x68b0e0db7918c0211ea1fb78292a879839137dd0,2,Phish / Hack,Fake_Phishing42
0x6af114154a8850b1c54d48bd9103bdcdb420611b,2,Phish / Hack,Fake_Phishing334
0x6d0b90ea2951ca5ad3abdb606e4146e9765f1ee4,2,Phish / Hack,Fake_Phishing316
0x6d64486a5c99139b53239297e0b653d196d05777,2,Phish / Hack,Fake_Phishing499
0x6d8a1bc0ae09ae5cfd4a7a2a59194598734ceea5,2,Phish / Hack,Fake_Phishing278
0x6fcf42fcd9c6a54b64d1b52083700142952a2805,2,Phish / Hack,Fake_Phishing46
0x717d2041c516573a0e27f552cdb6c5c3ec7b4e09,2,Phish / Hack,Fake_Phishing539
0x72a66bba491f0c696c4c4e3154d07b241d371944,2,Phish / Hack,Fake_Phishing257
0x785a751b2e36b2b0fdb80100b7ca14889a768a22,2,Phish / Hack,Fake_Phishing519
0x79a9e902cfbe87fa5065905293992c15de7f6095,2,Phish / Hack,Fake_Phishing430
0x7a18cfc4a36e48163034e51a9ed19d4bdea05f6f,2,Phish / Hack,Fake_Phishing76
0x7ba85e2e55c7598378fe927ad2aef2dac6c45218,2,Phish / Hack,Fake_Phishing419
0x7bb386c33486fe345168d0af94bef03897e16022,2,Phish / Hack|Binance|Deposit Address,Fake_Phishing465
0x7c14369f68d7812c105a597beb13ff8da64520c5,2,Phish / Hack,Fake_Phishing793
0x7e3d7d8e31b3f472fcd3c1552a9f009131c50c6c,2,Phish / Hack,Fake_Phishing188
0x7eb28833082eb28fd423ab30df20afde98c47dbf,2,Phish / Hack,Fake_Phishing457
0x7fbf068316c5806a62d549441ae82b00fdb10de1,2,Phish / Hack,Fake_Phishing92
0x8374aa52bf36eabca06e33c4163a081f53e39aa3,2,Phish / Hack,Fake_Phishing189
0x8444173280e5fdc0525494638123b014cffcc521,2,Phish / Hack,Fake_Phishing308
0x858457daa7e087ad74cdeeceab8419079bc2ca03,2,Phish / Hack,Fake_Phishing14
0x86ddf5b305b9081fb5208e903edeb013510997cd,2,Phish / Hack,Fake_Phishing1781
