mint,creator,rugged,score
1Pw6GSikUWYsKsiWmg25irLWC5gB32UWTnU7bwRpump,GfgoLq4rzWpE7LoEAAtHey1LorxcQiFPTdEBh9qYPsgs,False,24599
1R2BnyeuuytJBv36d1KfJvg1Wt8KmTShm7Qmdwmpump,ATR9UaJasUHH8GSQsCkNtsS9kY2tLLoHyLrEaNLyZ9n9,False,499
1WDSDtZ4Niv6id8WmB1KsopWEoR2DkKA1sZhp5gpump,8wG6ddTDZ39f2QZP4NXwRmR895T6awuadJPmqdcVtPZz,False,47726
1eStxMfALAfbT2ctPV7yuk9pENB2BHTAqK5xDefpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,327
1g7uLyGhCx3pw5Wvovn59Hk5LEmhw4pUHomkyqspump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1213
1hKtRYLSnfp82D8y9YLzmVxYANMV3t8hnht88USpump,N9SyhAXDckG4y2B911paJPpwS7cvxWSxcng53mebXGf,False,2001
1j97BHsuwwiKweSfFEERQRg7aL9d2HSzmTyqXE6pump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1
1tNTsAGzLEqpxpZafV5oDhoTErMmd9awgBpZYDBpump,4ktDQPHuw5K9cpwYaXZ88jcBb3fdvNyeh1ysDz3nr88J,False,408
218FqBsz1Drt3YCaX3Cu6ifBf9ftec2E6bL1YPSTpump,D6KgVor1xH1eYAbcsfku1M73fYnJAsqpouPJW6r8tgzU,False,1
21AErpiB8uSb94oQKRcwuHqyHF93njAxBSbdUrpupump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1
21Chh9vxe9qpNi2XQgoQpvfqdpB4g5gb9EXEZHXepump,EweEZoENzK1k9D23ETjPctxfCZQnsiRetcyca63FKMKP,False,1
21GTzMPn4Wiuut3bnAB36FUGPwG7tocSZyJB7x1rpump,BuBMjNCr1UBpnPfywwAYcrjpSySzPDtGU5cNav2Y7SWU,False,1
21GX9Fcc5x38tCqy8F94kNRMaHYA96y7cbwWVAj9pump,EiVtPxXCNdWUCHR1WnLNFqbykpY13orPW2mDQDSVKgvt,False,1
