pool,verdict,liquidity_usd,scam_mint,scam_sym,quote_sym,dex
12ozKi8JPUFuYMYmCZMX4bAJQx5NBsv6mBWgBGYMcD3v,rug_completed,0,,,,
12ppEb5DzqjocuXtdM2Wdw9zcw7eZ7QAAV3qXBjaFQze,rug_completed,0,,,,
12qHPovnv176zHrX2UExBy562Mf78o1K2e5Nt64iR1vG,rug_completed,0,,,,
12r122vM8Gczuxu7T3DQSo9nxHFTAwikUhT9EcZffd7x,rug_completed,0,,,,
12rYgVN9SbsMHdQHg2fhme1SyjCtPgLAoB9X7V6DRhge,rug_completed,0,,,,
12smDCvkFeJ7fKzB3CETuwCnPyoi7arcHafWXTBA8AF5,rug_completed,0,,,,
12u9xFryfnMEwrRX4HHwKw6i4UaH2ALThiWHoPFCMSQ3,rug_completed,0,,,,
12wp79xN7Cec4d92hsr9Kt96mpQkzp1YDuXb3oxu7NMB,rug_completed,0,,,,
12xeYhezRrpc5fg1t8sUV1bZ94rS6gx8yHgKvB1FF1By,rug_completed,0,,,,
131dNFvNTQw8KWFTPwqJfoVY953wzAP6QCp5J3NKs6hU,rug_completed,0,,,,
133M1CNgWwkMWQPjdPkBgxHFJtFo7wy8Re2Z8XuSnRGZ,rug_completed,0,,,,
133ikDhCB4Poj7R4WBqTpDR642TzpqntXdNG97AsMaVU,rug_completed,0,,,,
1347cPz37RHSuwtGrFX6nocoR2GLkpHE4pULtpc6pBg8,rug_completed,0,,,,
134BC97mxQkdvHabYwdfKW56ZuYZ6MtuUjfyC3e7TcAA,rug_completed,0,,,,
134Evh84qgx18T2YY71fi7JWRQoRJYX7cXzvcHFzXQ9s,rug_completed,0,,,,
134PWwnqSgy1CZNaHuTsFnYLrppdhqrg4GYiN75AXgzH,rug_completed,0,,,,
134rUTSShA3D6nS7beBa2CHaEaeebcYpBLJetQtUJNvB,rug_completed,0,,,,
134rbuHdhXUxGuPBsfTPKZpPTLStrozUeRs1yCZJyKWF,rug_completed,0,,,,
135xhHMFP62YmKAxRnvF73Ghp9PNrKMjPkfNZZdo3PYK,rug_completed,0,,,,
136aDHibPFRWLsqvHTAPtmpLyav7wAWZ8tR75LUduUVk,rug_completed,0,,,,
137QLBEavudHnjbgiMHudYrccRPt4GZddSGrJcjAq7Gp,rug_completed,0,,,,
137Wy4xiPi6j7ssUaowH2DVg972Juf4btmg6p8LfgsnH,rug_completed,0,,,,
138qVgqdEmTstUHvUmr9YbvEjD6T8jTDTy7WLuCVPR1o,rug_completed,0,,,,
138tkDr1QDFJmrCwnQmrJXbNgFQT7viGcDKq7wCEVcph,rug_completed,0,,,,
13CZx4Bqfe8Xwpyb62cRZduvT3tvgRXeMMEU1DfS3BkP,scam_pool_active,16178.24,BQpGv6LVWG1JRm1NdjerNSFdChMdAULJr3x9t2Swpump,fomo3d.fun,SOL,raydium
13CfJCF3uftHtMPpbjZ29VPsPDHgCHuDTzzg1Cjs3dWY,rug_completed,0,,,,
13D3qRYBUg3Ckc76iDHZedd672vYou7stsiuqYYqhz4j,rug_completed,0,,,,
13DP3R9DT6LapefzJEz7M13heD1u6rfe6LVJGDjWDMWN,rug_completed,0,,,,
13EWX8pPNDSeJHvMzMZU1LfMfD8bSH3SL6bfrkXaz9gM,rug_completed,0,,,,
13GyJADPfwNEKP28Zca7pbisieaYQXGRiEdfhRtgi1Kr,rug_completed,0,,,,
13Hd99SHRmUtu9U4i1UJLhhR539KhSXdVMUS7YQw69sA,rug_completed,0,,,,
13Je7y7kp3bLn7UNkU2f1DCqJKQoSEDza6sapVH6L9St,rug_completed,0,,,,
13JjbTPNU8kbArrXuw9naRUvxtxyBvWk432DvtmwpWTr,rug_completed,0,,,,
13Jytr3EjLXo5pFtTvnQhA4fibCAHrKNzjirPPqyBPtw,rug_completed,0,,,,
13MJdQQ7EqHor1MxnUmtnnEFPwPk7sUJnpW1Wnhp2mnS,rug_completed,0,,,,
13QncV6iLhyUoaE6q3mysTNGdr6G4K37dSCT743TJErS,rug_completed,0,,,,
13SFZKVA5o6Zm8vW3PhyL2FfkhVmPdqSo6iMZD9fpXbt,rug_completed,0,,,,
13SYmNNSxy9EzmLCvmQWBx6GPW8uDkAEeJKU3PY9Dy7m,rug_completed,0,,,,
13ScxKHa4f65sjpy5g7bmB3MdkcH9RtPtBfkcSPSZKdR,rug_completed,0,,,,
13Tw968EGAFdiEfVVtPrc4c3LVBeHvBCsaWQVjukV9hN,rug_completed,0,,,,
13TxcUvMWoE8zRRWTQC2VKFewtQyZpq1kSVCFYRZpg3B,rug_completed,0,,,,
13U6272Had9MMaTnUp76o5mWfpxhk3LsjDVeaR7GsPyn,rug_completed,0,,,,
13UpDe1ytun9DgMtkrFmEtrFx7Tx8Kdz2bqzKbzb4dnC,rug_completed,0,,,,
13Wf6ytEUzfFnonB1ss5LYZkkLYDMB2Mf96FJaYoiohu,rug_completed,0,,,,
13XeJpVmVhGmhg5pWiqxreRg8de7rCehhCbo9EGDNb8Q,rug_completed,0,,,,
13Ypw8XHDP4Pxe6NfitGCnjzsPWfWtgee11JziiUZvk3,rug_completed,0,,,,
13Z8HDVSkV4p7ehKhAYVNHzU7p7tVfWzsLGkwFQjkxeC,rug_completed,0,,,,
13acdD67rPBvumB57GcuPA6uRxQ5Ukx34bWbyZ94Aq1t,rug_completed,0,,,,
13cBeGzzD3zQBieFTjBWxwALtoqL81DqzPEUjn11zz5e,rug_completed,0,,,,
13ckftWmD6K4ruyerS2FtMWxpy53138BjNvUf9wFgDNL,rug_completed,0,,,,
13cuj7hQxtip11BeCAVnpgC32Mm2hb5Tqwsqb5xi6Dnm,rug_completed,0,,,,
13f7cUDZCoZHUeyyCcEghqBKyqCSuJtRXw5MvXz19m4h,rug_completed,0,,,,
13f8qAmkbLpR14fWkNCeLL2MxbsW3ppTgQr6NX1ux2e9,rug_completed,0,,,,
13fJrRFDgvyBhaxsKKtmzrVZGjGsv3GEsmDcJFfnLM41,rug_completed,0,,,,
13g7zDySsJGYF3zFmn3oKhiAkBbqJk3tyFur4iBrPaXR,rug_completed,0,,,,
13gRh4dzUuBUuPCLQTE299v3mr6aCx2Yq73s4ysTzAhW,rug_completed,0,,,,
13gqXpNraNLbkfk7pPfxtu1yLPtH4td2MVtKizbnuA5U,rug_completed,0,,,,
13iqRh4DGtWtcLbiFcBUA85duU9i7tWaw5BnfRHPbaaR,scam_pool_active,6321.26,CgceaqeC66NTMRReKfPxBvQdKY48qQpC7kvXFP2ipump,Jar,SOL,raydium
13itYVjoieRQ3CossB53ZKPdDYUR2gEDVcTcU2dzm9Ai,rug_completed,0,,,,
13kdFYAiq2GLo2XHbKMGp7CtNC5Ke1HQv5aer1S5XVg,rug_completed,0,,,,
